PRODUKT,KALORIE,BIAŁKO,TŁUSZCZE,WÄ‰GLOWODANY
Pyzy,  210,  3.7,  6.2,  37.4 
Pyzy z mięsem, 292,  7.8,  14.0, 36.2 
Rabarbar, 9, 0.5,  0.1,  4.6 
Risotto z mięsem, 229,  7.4,  11.8, 24.2 
Risotto z mięsem i warzywami,  185,  6.6,  10.0, 18.3 
Rodzynki suszone, 277,  2.3,  0.5,  71.2 
Rolada biszkoptowa,  304,  6.9,  5.4,  56.8 
Rolada wieprzowa, 412,  21.1, 32.5, 10.0 
Ryż biały,344,  5.7,  0.7,  78.9 
Ryż brązowy,322,  7.1,  1.9,  76.8 
Ryż na mleku,  66,2.7,  2.1,  9.1 
Ryż na sypko,  135,  2.4,  1.5,  28.4 
Ryż preparowany,  361,  6.3,  1.6,  84.1 
Ryż z jabłkami,152,  2.0,  2.1,  32.3 
Rzepa, 26,1.1,  0.3,  8.2 
Rzodkiewka, 14,1.0,  0.2,  4.4 
Salami popularne, 568,  21.6, 53.7, 1.4 
Salceson czarny,  336,  12.6, 32.0, 0.5 
Salceson włoski,  318,  14.6, 29.3, 0.0 
Sałata,14,1.4,  0.2,  2.9 
Sałata zielona z olejem, 55,0.9,  4.7,  3.6 
Sałatka jarzynowa z maj.,  192,  2.9,  16.5, 10.9 
Sałatka z czerw. kapusty,  83,1.4,  6.5,  7.0 
Sandacz świeży,  84,19.2, 0.7,  0.0 
Sardyna świeża,  169,  20.6, 9.6,  0.0 
Sardyna w oleju, 221,  24.1, 13.9, 0.0 
Sardyna w pomidorach,162,  17.0, 9.9,  1.4 
Sarnina,102,  20.8, 1.9,  0.4 
Schab pieczony,  291,  30.4, 18.7, 0.7 
Schab surowy wieprzowy, 174,  21.0, 10.0, 0.0 
Schab wędzony,136,  25.0, 4.0,  0.0 
Seler. korzeń,21,1.6,  0.3,  7.7 
Ser Brie pełnotłusty,329,  19.8, 28.0, 0.2 
Ser Camembert pełnotłusty, 291,  21.4, 23.0, 0.2 
Ser Cheddar pełnotłusty,391,  27.1, 23.4, 0.1 
Ser Edamski tłusty,  313,  36.1, 23.4, 0.1 
Ser Ementaler pełnotłusty, 380,  28.8, 29.7, 0.1 
Ser Feta,  215,  17.0, 16.0, 1.0 
Ser ouda tłusty,316,  27.9, 22.9, 0.1 
Ser Myśliwski pełnotłusty, 346,  25.5, 27.4, 0.1g
Ser Parmezan, 452,  41.5, 32.0, 0.1 
Ser Rokpol pełnotłusty, 363,  15.8, 9.5,  2.0 
Ser Salami pełnotłusty, 351,  25.2, 28.1, 0.1 
Ser topiony edamski, 298,  13.5, 27.0, 1.2 
Ser twarogowy chudy, 99,19.8, 0.5,  3.5 
Ser twarogowy półtłusty,133,  18.7, 4.7,  3.7 
Ser twarogowy tłusty,175,  17.7, 10.1, 3.5 
Ser Tylżycki pełnostłusty, 353,  26.1, 27.9, 0.1 
Ser Tylżycki tłusty, 334,  27.8, 25.0, 0.1 
Serca wieprzowe, 165,  16.9, 4.8,  0.0 
Serek Fromage naturalny,379,  10.2, 37.1, 2.4 
Serek Fromage z czosnkiem, 367,  10.0, 35.2, 4.0 
Serek homogenizowany,161,  12.7, 11.0, 3.0 
Serek homog. truskawkowy,  168,  15.3, 3.9,  17.7 
Serek homog. waniliowy, 159,  16.8, 4.2,  13.3 
Serek twarogowy ziarnisty, 101,  12.3, 4.3,  3.3 
Sernik krakowski,325,  13.8, 13.4, 37.7 
Sernik wiedeński,305,  12.5, 15.5, 31.5 
Sernik z rodzynkami, 333,  13.9, 13.4, 39.7 
Skrobia ziemniaczana,  343,  0.6,  0.1,  83.9 
Słonecznik. nasiona,561,  24.4, 43.7, 24.6 
Słonina, 797,  2.4,  89.0, 0.0 
Smalec,  880,  0.0,  99.5, 0.0 
Soczewica. suche nasiona, 327,  25.4, 3.0,  57.5 
Soczewica. kiełki,  119,  9.0,  0.6,  22.1 
Soja. kiełki,  141,  13.1, 6.7,  9.6 
Soja. suche nasiona,382,  34.2, 19.6, 32.7 
Sola świeża,83,17.5, 1.4,  0.0 
Sok ananasowy, 48,0.3,  0.1,  11.4 
Sok cytrynowy, 30,0.4,  0.3,  6.4 
Sok rejpfrutowy,40,0.5,  0.1,  9.2 
Sok jabłkowy,  42,0.1,  0.1,  10.0 
Sok merchewkowo brzoskwiniowy,  44,0.5,  0.1,  11.3 
Sok merchewkowo jabłkukowy, 46,0.5,  0.3,  12.3 
Sok marchwiowy,43,0.4,  0.1,  11.3 
Sok pomarańczowy,43,0.6,  0.1,  9.9 
Sok pomidorowy,13,0.8,  0.1,  2.6 
Sok wielowarzywny,  25,1.0,  0.3,  5.7 
Sok z czarnej porzeczki,  53,0.3,  0.1,  12.7 
Sprite. napój, 42,0.0,  0.0,  10.5 
Stek wieprzowy,472,  21.7, 42.7, 1.5 
Surówka wielowarzywna z jogurtem,36,1.7,  0.6,  7.0 
Surówka z cykorii i jabłek,162,  1.0,  16.4, 3.8 
Surówka z kapusty białej, 67,1.6,  4.7,  7.0 
Surówka z kapusty kwaszonej, 68,0.9,  4.7,  7.5 
Surówka z kapusty pekińskiej,94,1.6,  8.1,  6.0 
Surówka z marchwi i jabłek,59,1.0,0.3,  16.5 
Surówka z ogórków i pomidorów,32,1.1,  1.8,  3.6 
Surówka z owoców,102,  0.5,  0.3,  25.9 
Surówka z owoców i warzyw,147,  1.1,  14.3, 5.1 
Surówka z papryki,  90,1.0,  7.5,  6.3 
Surówka z pomidorów,14,0.8,  0.2,  14.0 
Surówka z porów z jabłkami,140,  1.7,  12.5, 7.9 
Surówka z rzodkiewki,  93,7.5,  3.5,  9.3 
Surówka z selerów,  92,1.1,  7.5,  8.9 
Surówka z selerów. jabłka i marchwi,60,0.9,  0.4,  16.5 
Syrop truskawkowy,  262,  0.2,  0.1,  62.0 
Szampan półsłodki. alkohol,97,0.2,  0.0,  7.0 
Szampan wytrawny,83,0.1,  0.0,  3.4 
Szczaw, 21,  1.1,0.8,  4.9 
Szczupak świeży, 82,  18.4,  0.8,  0.0 
Szczypiorek,  29,  4.1,0.8,  3.9 
Szparagi,  18,  1.9,0.2,  3.7 
Szpinak,16,  2.6,0.4,  3.0 
Szpinak mrożony, 15,  2.3,0.4,  2.7 
Szpinak zasmażany, 83,  3.7,6.1,  6.2 
Sztuka mięsa wołowego,224, 30.6,  10.3, 3.2 
Szynka delikatesowa z kurczaka, 123, 18.2,  5.6,  0.0 
Szynka wiejska,  253, 17.1,  20.3, 0.9 
Szynka wieprzowa otowana,  233, 16.4,  18.3, 1.0 
Szynka wołowa otowana,  107, 20.9,  2.0,  1.1 
Szynka z indyka, 84,  17.1,  1.6,  0.1 
Szynka z udka kurczaka,  117, 17.2,  5.3,  0.0 
Szynkówka wieprzowa,  191, 13.6,  14.7, 1.4 
śliwki, 45,  0.6,0.2,  11.7 
śliwki suszone,  267, 3.5,1.2,  68.9 
śliwki dżem niskosłodzony,  153, 0.3,0.1,  37.9 
śliwki dżem wysokosłodzony, 251, 0.3,0.1,  62.1 
śliwki. powidła, 214, 1.0,0.2,  53.0 
śledź solony, 218, 19.8,  15.4, 0.0 
śledź świeży, 162, 16.3,  10.7, 0.0 
śledź w oleju. konserwa, 343, 19.7,  29.4, 0.0 
śledź w pomidorach. konserwa,177, 13.7,  12.8, 1.8 
śmietana 12%, 133, 2.7,12.0, 3.9 
śmietana 18%, 184, 2.5,18.0, 3.6 
śmietanka do kawy 9%, 107, 2.8,9.0,  4.0 
śmietanka kremowa 30%,287, 2.2,30.0, 3.1 
